ISO,Value_method_1,Value_method_2
AFG,28.63945661644911,60.300252339457344
ALB,71.75491190567152,81.41706215114928
DZA,56.55535462006473,72.55731676873553
AGO,38.19943602082583,61.94104544951503
ATG,57.60223093651142,74.59797193870298
ARG,69.74423160905374,83.73462244601757
ARM,66.15604576122206,79.8114277387706
AUS,68.03641460544645,82.58401865084514
AUT,79.49588761952455,87.94147693276432
AZE,66.80519719658064,81.25283018696454
BHS,62.52094581223266,77.96729183717372
BGD,58.46461709153181,76.50009910034436
BRB,63.52708808671954,79.28873015832703
BLR,77.55173321179696,87.71704817659653
BEL,81.82499225750686,89.94594973999216
BLZ,65.16265703994235,79.65363241089167
BEN,51.13821266519025,69.60274825386756
BOL,57.293959983537434,75.87098064037689
BIH,70.60776474596514,81.44734885771697
BWA,50.82151309670378,72.42562865170741
BRA,65.18244936816109,77.45608394044548
BGR,66.35241588786644,81.12154193012225
BFA,47.72326323259354,71.94705473450287
CPV,44.3558558817203,67.81553722916065
KHM,29.631367379056194,59.42030575346578
CMR,46.06112774269043,64.89859862525576
CAN,70.19041850215986,83.75686480405493
CAF,35.71804434541572,64.70707962273568
TCD,8.488174399060124,49.72331966286417
CHL,63.27415066953938,78.97620212785465
HKG,17.35775661327486,36.20164676364026
MAC,60.49212571916306,75.23615771762752
CHN,70.85195495264041,82.4613571166577
COL,67.77327428037741,81.09706173798187
COM,37.667523317383505,64.80478417383699
COG,39.30778959634136,64.66934687016308
CRI,60.69249077981878,76.19007055842344
HRV,69.72489304987688,82.82728034958609
CUB,65.80922082409937,78.70248110048982
CYP,56.15625392074873,74.65355543180331
CZE,73.5559271647575,85.63237131149418
CIV,53.11925195659072,72.68504344017997
PRK,47.253660271597475,69.9141763709992
DNK,67.0333846016685,82.05116851183425
DJI,35.40591921951731,64.4793584186571
DMA,52.9777797819364,64.91825904228263
DOM,69.43835568218752,81.47376078202463
ECU,56.30609208429388,76.26510878594394
EGY,58.90467356199376,75.44889057617816
SLV,61.27690862525591,79.04567512743937
EST,77.63575182309889,88.06532483720329
SWZ,49.57771077437717,71.79621519236349
ETH,35.24846985574293,65.49250599407904
FJI,57.42975808326991,76.14149463223406
FIN,75.74910272281187,86.39507506010631
FRA,64.96130838517483,80.70084322649012
PYF,63.71627018988458,79.21864686908893
GAB,46.18851566552753,65.18447873986321
GMB,19.43173618680034,56.53455687544313
GEO,58.46310970277452,77.69512288296018
