,Country,Mode/vehicle type,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47,Australia,Freight trucks,Tonne-kilometres energy intensity (MJ/tkm),2.3,2.26,2.22,2.2,2.17,2.14,2.12,2.11,2.12,2.15,2.18,2.18,2.19,2.2,2.19,2.22,2.22,2.23,2.25,2.23
54,Australia,Freight trains,Tonne-kilometres energy intensity (MJ/tkm),0.19,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.14,0.14,0.14,0.13,0.13,0.11,0.11,0.11,0.11,0.1,0.09
61,Australia,Domestic freight airplanes,Tonne-kilometres energy intensity (MJ/tkm),2.28,2.2,2.1,2.06,1.99,2.0,1.94,1.89,1.88,1.94,1.88,1.85,1.82,1.82,1.9,1.79,1.7,1.7,1.73,1.73
66,Australia,Domestic freight ships,Tonne-kilometres energy intensity (MJ/tkm),0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.17,0.16,0.12,0.08,0.09,0.09,0.09,0.09,0.1,0.14
71,Australia,Total freight transport,Tonne-kilometres energy intensity (MJ/tkm),0.92,0.92,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.82,0.83,0.82,0.78,0.74,0.72,0.72,0.69,0.67,0.64
119,Austria,Freight trucks,Tonne-kilometres energy intensity (MJ/tkm),1.5,1.49,1.47,1.44,1.43,1.43,1.41,1.35,1.35,1.41,1.39,1.38,1.38,1.38,1.39,1.4,1.4,1.34,1.34,
126,Austria,Freight trains,Tonne-kilometres energy intensity (MJ/tkm),0.41,0.41,0.41,0.37,0.34,0.3,0.28,0.28,0.26,0.34,0.3,0.29,0.26,0.25,0.26,0.26,0.25,0.24,0.22,
133,Austria,Domestic freight airplanes,Tonne-kilometres energy intensity (MJ/tkm),,,,,,,,,,,,,,,,,,,,
138,Austria,Domestic freight ships,Tonne-kilometres energy intensity (MJ/tkm),0.49,0.48,0.48,0.49,0.47,0.47,0.48,0.47,0.47,0.48,0.47,0.48,0.47,0.46,0.47,0.57,0.53,0.52,0.71,
143,Austria,Total freight transport,Tonne-kilometres energy intensity (MJ/tkm),1.16,1.15,1.14,1.13,1.1,1.07,1.04,1.02,1.0,1.11,1.06,1.06,1.04,1.04,1.04,1.06,1.06,1.02,1.03,
191,Belgium,Freight trucks,Tonne-kilometres energy intensity (MJ/tkm),2.18,2.16,2.25,2.33,2.27,2.57,2.53,2.6,2.38,2.43,2.43,2.4,2.22,2.12,2.14,2.19,2.3,2.23,2.29,
198,Belgium,Freight trains,Tonne-kilometres energy intensity (MJ/tkm),0.36,0.35,0.33,0.36,0.34,0.31,0.34,0.32,0.31,0.31,0.23,0.22,0.24,0.19,0.14,0.14,0.14,0.15,0.15,0.16
205,Belgium,Domestic freight airplanes,Tonne-kilometres energy intensity (MJ/tkm),,,,,,,,,,,,,,,,,,,,
210,Belgium,Domestic freight ships,Tonne-kilometres energy intensity (MJ/tkm),1.67,1.51,1.29,1.41,1.23,1.12,0.71,0.73,0.75,0.78,0.72,0.68,0.58,0.6,0.56,0.56,0.58,0.55,0.7,0.82
215,Belgium,Total freight transport,Tonne-kilometres energy intensity (MJ/tkm),1.91,1.9,1.92,1.99,1.93,2.1,2.01,2.05,1.91,2.02,1.94,1.91,1.77,1.71,1.72,1.76,1.84,1.79,1.9,
