ISO,Year,Description,Indicator,From,Source,URL,Imputed,Value,Corrected,Country
AFG,2000,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,12.5,False,Afghanistan
AFG,2001,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,12.5,False,Afghanistan
AFG,2002,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,12.75,True,Afghanistan
AFG,2003,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,13.0,False,Afghanistan
AFG,2004,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,13.0,False,Afghanistan
AFG,2005,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,14.0,False,Afghanistan
AFG,2006,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,15.0,False,Afghanistan
AFG,2007,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,16.0,False,Afghanistan
AFG,2008,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,17.0,False,Afghanistan
AFG,2009,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,18.0,False,Afghanistan
AFG,2010,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,19.0,False,Afghanistan
AFG,2011,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,20.0,False,Afghanistan
AFG,2012,"[ (Proportion of population using safely managed sanitation services, by urban/rural (%) Location ALLAREA Reporting Type G) + (Proportion of population using safely managed drinking water services, by urban/rural (%) Location ALLAREA Reporting Type G) ] / 2",AB1,SDG API,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_H2O_SAFE&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27ALLAREA%27%5D%7D%5D&seriesCode=SH_SAN_SAFE&pageSize=1000000000,False,21.0,False,Afghanistan
