ISO,Year,Description,Indicator,From,Source,URL,Imputed,Value,Corrected,Country
ALB,2000,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,43.732347106847975,False,Albania
ALB,2001,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,43.82131714984655,False,Albania
ALB,2002,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,43.6677550484893,False,Albania
ALB,2003,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,43.51559396797445,False,Albania
ALB,2004,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,44.332470300208556,False,Albania
ALB,2005,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,45.1850280158404,False,Albania
ALB,2006,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,46.05369567169005,False,Albania
ALB,2007,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,47.06416847283663,False,Albania
ALB,2008,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,48.0373960904544,False,Albania
ALB,2009,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,49.1705396945407,False,Albania
ALB,2010,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,50.308823426051546,False,Albania
ALB,2011,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,51.45196696880865,False,Albania
ALB,2012,[ (People using safely managed drinking water services (% of population)) + (People using safely managed sanitation services (% of population)) ] / 2,AB1,WB API,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.STA.SMSS.ZS,False,52.599732746566644,False,Albania
