ISO,Value,Year,Variable,Description,Source,URL,From
AFG,20.387500000000003,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
DZA,32.266960149988975,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
AGO,19.79008620689655,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ARG,32.54061557973679,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ARM,54.92164454819499,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
AUS,56.24988787589147,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
AUT,76.80203845305492,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
AZE,34.62370873465186,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BGD,24.939224137931035,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BLR,69.51230424233512,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BEL,60.931812918167786,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BEN,22.051724137931036,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BOL,20.302155172413794,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BRA,38.706127306815674,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BGR,53.97966693625469,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
BDI,35.251724137931035,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
KHM,18.75172413793104,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
CMR,22.364655172413794,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
CHL,53.78829314021028,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
CRI,33.317241379310346,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
HRV,54.696120689655174,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
CUB,45.93405172413793,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
CZE,81.68149400779355,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
DNK,61.21080619072128,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
DOM,27.673685758400122,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ECU,38.122482721858695,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
EGY,30.65496195132711,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SLV,32.6771551724138,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ETH,26.507215462098372,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
FIN,57.376930924196756,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
FRA,85.36093577678112,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
GEO,47.60610065436365,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
DEU,93.1008078450114,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
GHA,23.701724137931034,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
GRC,57.00228108227336,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
GTM,27.753541099919122,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
HTI,17.087500000000002,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
HND,21.440086206896552,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
HUN,65.82057936916404,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
IND,26.19749926475994,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
IDN,29.736185758400122,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
IRN,24.074129659583857,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
IRL,65.83644125431954,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ISR,54.99428167046542,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ITA,61.952068781707226,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
JPN,62.412942982133664,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
KAZ,34.81590140430851,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
KOR,56.10343081391074,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
KWT,35.19482758620689,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
KGZ,21.53965517241379,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
LAO,28.46681034482759,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
