Country,Year,Value,Delta,Time Series
Afghanistan,2017,0,,
Algeria,2017,2,,
Angola,2014,6,,
Argentina,2018,11,,
Armenia,2017,18,,
Australia,2017,22,,
Austria,2018,26,,
Azerbaijan,2017,9,,
Bahrain,2015,16,,
Bangladesh,2017,4,,
Barbados,2016,19,,
Belarus,2018,27,,
Belgium,2018,21,,
Belize,2017,15,,
Benin,2010,4,,
Bhutan,2015,9,,
Bolivia,2017,5,,
Brazil,2018,11,,
Brunei Darussalam,2017,28,,
Bulgaria,2018,18,,
Burundi,2017,4,,
Cabo Verde,2018,8,,
Cambodia,2016,4,,
Cameroon,2014,5,,
Chile,2018,16,,
Costa Rica,2018,11,,
Croatia,2018,20,,
Cuba,2014,21,,
Cyprus,2018,29,,
Czech Republic,2018,27,,
Denmark,2018,20,,
Dominican Republic,2017,4,,
Ecuador,2018,9,,
"Egypt, Arab Rep.",2017,1,,
El Salvador,2017,5,,
Estonia,2018,24,,
Ethiopia,2013,10,,
Fiji,2016,9,,
Finland,2018,20,,
France,2018,25,,
"Gambia, The",2012,7,,
Georgia,2017,11,,
Germany,2018,25,,
Ghana,2017,4,,
Greece,2018,15,,
Guatemala,2017,5,,
Guyana,2017,12,,
Haiti,2012,0,,
Honduras,2017,6,,
Hungary,2018,24,,
Iceland,2018,32,,
India,2012,1,,
Indonesia,2015,4,,
"Iran, Islamic Rep.",2017,2,,
Ireland,2018,19,,
Israel,2015,20,,
Italy,2018,21,,
Japan,2017,21,,
Kazakhstan,2017,21,,
"Korea, Rep.",2018,10,,
Kuwait,2016,17,,
Kyrgyz Republic,2017,5,,
Lao PDR,2017,10,,
Latvia,2018,24,,
Liberia,2014,5,,
Lithuania,2018,26,,
Luxembourg,2018,18,,
Madagascar,2015,5,,
Malaysia,2016,14,,
Maldives,2016,13,,
Mali,2018,1,,
Malta,2018,22,,
Mauritius,2017,15,,
Mexico,2018,9,,
"Micronesia, Fed. Sts.",2014,17,,
Moldova,2018,26,,
Mongolia,2017,15,,
Montenegro,2018,19,,
Mozambique,2015,5,,
Myanmar,2017,4,,
Namibia,2018,10,,
Nepal,2017,2,,
Netherlands,2018,24,,
New Zealand,2015,29,,
Niger,2011,0,,
North Macedonia,2018,13,,
Norway,2018,22,,
Oman,2008,5,,
Pakistan,2018,0,,
Panama,2017,13,,
Peru,2018,11,,
Philippines,2018,3,,
Poland,2018,20,,
Portugal,2018,22,,
Qatar,2017,17,,
Romania,2018,13,,
Russian Federation,2017,23,,
Rwanda,2017,5,,
Samoa,2017,10,,
Saudi Arabia,2018,3,,
Senegal,2015,3,,
Serbia,2018,20,,
Seychelles,2017,27,,
Sierra Leone,2014,3,,
Singapore,2015,25,,
Slovak Republic,2018,27,,
Slovenia,2018,22,,
Solomon Islands,2013,6,,
Spain,2018,19,,
Sri Lanka,2017,4,,
St. Vincent and the Grenadines,2001,17,,
Sudan,2011,2,,
Suriname,2015,15,,
Sweden,2018,23,,
Switzerland,2018,27,,
Tajikistan,2009,5,,
Tanzania,2014,3,,
Thailand,2018,16,,
Togo,2014,24,,
Tunisia,2013,8,,
Turkey,2018,8,,
Uganda,2012,2,,
Ukraine,2017,28,,
United Arab Emirates,2017,6,,
United Kingdom,2018,20,,
United States,2018,29,,
Uruguay,2018,15,,
Vanuatu,2009,10,,
Vietnam,2017,10,,
Zambia,2017,2,,
Zimbabwe,2014,9,,
