Country,Year,Value,Delta,Time Series
Afghanistan,2018,0,,
Algeria,2018,14.4,,
Angola,2018,0,,
Argentina,2018,6,,
Armenia,2018,11.8,,
Australia,2018,8.5,,
Austria,2018,44.6,,
Azerbaijan,2018,13.7,,
Bangladesh,2018,0,,
Belarus,2018,18.3,,
Belgium,2018,9.8,,
Benin,2018,0,,
Bolivia,2018,0,,
Brazil,2018,11.8,,
Bulgaria,2018,31.4,,
Burkina Faso,2018,0,,
Burundi,2018,0,,
Cambodia,2018,0,,
Cameroon,2018,0,,
Canada,2018,19.9,,
Central African Republic,2018,0,,
Chad,2018,0,,
Chile,2018,25.6,,
China,2018,10.9,,
Colombia,2018,9.9,,
"Congo, Dem. Rep.",2018,0,,
"Congo, Rep.",2018,0,,
Costa Rica,2018,0,,
Cote d'Ivoire,2018,0,,
Croatia,2018,0,,
Cuba,2018,0,,
Czech Republic,2018,48.2,,
Denmark,2018,15,,
Djibouti,2018,0,,
Dominican Republic,2018,6.6,,
Ecuador,2018,21.3,,
"Egypt, Arab Rep.",2018,2.5,,
El Salvador,2018,0,,
Eritrea,2018,0,,
Ethiopia,2018,8.5,,
Finland,2018,17,,
France,2018,66.3,,
Gabon,2018,0,,
Georgia,2018,24.2,,
Germany,2018,88.3,,
Ghana,2018,0,,
Greece,2018,23.9,,
Guatemala,2018,11.8,,
Guinea,2018,0,,
Guinea-Bissau,2018,0,,
Haiti,2018,0,,
Honduras,2018,0,,
Hungary,2018,22.2,,
India,2018,3.9,,
Indonesia,2018,6.6,,
"Iran, Islamic Rep.",2018,8.7,,
Iraq,2018,0,,
Ireland,2018,34.9,,
Israel,2018,11.4,,
Italy,2018,12.7,,
Jamaica,2018,0,,
Japan,2018,18.7,,
Jordan,2018,0,,
Kazakhstan,2018,2.4,,
Kenya,2018,0,,
"Korea, Dem. People's Rep.",2018,5.6,,
"Korea, Rep.",2018,34,,
Kuwait,2018,0,,
Kyrgyz Republic,2018,0,,
Lao PDR,2018,0,,
Latvia,2018,0,,
Lebanon,2018,0,,
Liberia,2018,0,,
Libya,2018,0,,
Lithuania,2018,0,,
Madagascar,2018,0,,
Malawi,2018,0,,
Malaysia,2018,15.5,,
Mali,2018,0,,
Mauritania,2018,0,,
Mexico,2018,10.3,,
Moldova,2018,0,,
Mongolia,2018,0,,
Morocco,2018,4.4,,
Mozambique,2018,0,,
Myanmar,2018,0,,
Nepal,2018,0,,
Netherlands,2018,75.9,,
New Zealand,2018,4.4,,
Nicaragua,2018,0,,
Niger,2018,0,,
Nigeria,2018,0.8,,
North Macedonia,2018,0,,
Norway,2018,93.8,,
Oman,2018,0,,
Pakistan,2018,1.4,,
Panama,2018,8.9,,
Paraguay,2018,0,,
Peru,2018,3.8,,
Philippines,2018,2.5,,
Poland,2018,48,,
Portugal,2018,27.9,,
Qatar,2018,0,,
Romania,2018,38.5,,
Russian Federation,2018,16,,
Rwanda,2018,0,,
Saudi Arabia,2018,0,,
Senegal,2018,0,,
Serbia,2018,0,,
Sierra Leone,2018,0,,
Singapore,2018,28.1,,
Somalia,2018,0,,
South Africa,2018,3.4,,
Spain,2018,40.1,,
Sri Lanka,2018,0,,
Sudan,2018,0,,
Sweden,2018,72.4,,
Switzerland,2018,64.4,,
Syrian Arab Republic,2018,0,,
Tajikistan,2018,0,,
Tanzania,2018,2.7,,
Thailand,2018,6.9,,
Togo,2018,0,,
Trinidad and Tobago,2018,0,,
Tunisia,2018,20.2,,
Turkey,2018,10.1,,
Turkmenistan,2018,0,,
Uganda,2018,0,,
Ukraine,2018,14.2,,
United Arab Emirates,2018,15,,
United Kingdom,2018,32.3,,
United States,2018,19.9,,
Uruguay,2018,0,,
Uzbekistan,2018,12.6,,
"Venezuela, RB",2018,9.5,,
Vietnam,2018,1.4,,
"Yemen, Rep.",2018,0,,
Zambia,2018,0,,
Zimbabwe,2018,0,,
