Country,Year,Value,Delta,Time Series
Afghanistan,2016,67,,
Albania,2016,89,,
Algeria,2016,78,,
Angola,2016,49,,
Argentina,2016,61,,
Armenia,2016,91,,
Australia,2016,86,,
Austria,2016,94,,
Azerbaijan,2016,65,,
"Bahamas, The",2016,67,,
Bahrain,2016,98,,
Bangladesh,2016,67,,
Barbados,2016,100,,
Belarus,2016,96,,
Belgium,2016,99,,
Belize,2016,51,,
Benin,2016,60,,
Bhutan,2016,48,,
Bolivia,2016,53,,
Bosnia and Herzegovina,2016,84,,
Botswana,2016,57,,
Brazil,2016,71,,
Brunei Darussalam,2016,89,,
Bulgaria,2016,72,,
Burkina Faso,2016,41,,
Burundi,2016,92,,
Cabo Verde,2016,84,,
Cambodia,2016,52,,
Cameroon,2016,58,,
Canada,2016,82,,
Central African Republic,2016,60,,
Chad,2016,24,,
Chile,2016,82,,
China,2016,79,,
Colombia,2016,38,,
Comoros,2016,74,,
"Congo, Dem. Rep.",2016,48,,
"Congo, Rep.",2016,19,,
Costa Rica,2016,68,,
Cote d'Ivoire,2016,44,,
Croatia,2016,95,,
Cuba,2016,71,,
Cyprus,2016,45,,
Czech Republic,2016,100,,
Denmark,2016,98,,
Djibouti,2016,51,,
Dominica,2016,79,,
Dominican Republic,2016,68,,
Ecuador,2016,67,,
"Egypt, Arab Rep.",2016,87,,
El Salvador,2016,83,,
Equatorial Guinea,2016,53,,
Eritrea,2016,37,,
Estonia,2016,98,,
Eswatini,2016,76,,
Ethiopia,2016,47,,
Fiji,2016,64,,
Finland,2016,87,,
France,2016,99,,
Gabon,2016,18,,
"Gambia, The",2016,72,,
Georgia,2016,82,,
Germany,2016,99,,
Ghana,2016,64,,
Greece,2016,94,,
Grenada,2016,94,,
Guatemala,2016,61,,
Guinea,2016,52,,
Guinea-Bissau,2016,33,,
Guyana,2016,50,,
Haiti,2016,59,,
Honduras,2016,53,,
Hungary,2016,92,,
Iceland,2016,76,,
India,2016,75,,
Indonesia,2016,73,,
"Iran, Islamic Rep.",2016,63,,
Iraq,2016,61,,
Ireland,2016,95,,
Israel,2016,86,,
Italy,2016,99,,
Jamaica,2016,72,,
Japan,2016,95,,
Jordan,2016,86,,
Kazakhstan,2016,42,,
Kenya,2016,63,,
Kiribati,2016,79,,
"Korea, Dem. People's Rep.",2016,86,,
"Korea, Rep.",2016,97,,
Kuwait,2016,56,,
Kyrgyz Republic,2016,56,,
Lao PDR,2016,59,,
Latvia,2016,92,,
Lebanon,2016,98,,
Lesotho,2016,63,,
Liberia,2016,56,,
Libya,2016,50,,
Lithuania,2016,93,,
Luxembourg,2016,100,,
Madagascar,2016,29,,
Malawi,2016,65,,
Malaysia,2016,74,,
Maldives,2016,57,,
Mali,2016,39,,
Malta,2016,98,,
Mauritania,2016,27,,
Mauritius,2016,97,,
Mexico,2016,82,,
"Micronesia, Fed. Sts.",2016,51,,
Moldova,2016,93,,
Mongolia,2016,49,,
Montenegro,2016,73,,
Morocco,2016,75,,
Mozambique,2016,44,,
Myanmar,2016,46,,
Namibia,2016,53,,
Nepal,2016,70,,
Netherlands,2016,99,,
New Zealand,2016,83,,
Nicaragua,2016,42,,
Niger,2016,34,,
Nigeria,2016,64,,
North Macedonia,2016,76,,
Norway,2016,78,,
Oman,2016,48,,
Pakistan,2016,64,,
Panama,2016,44,,
Papua New Guinea,2016,23,,
Paraguay,2016,57,,
Peru,2016,60,,
Philippines,2016,85,,
Poland,2016,94,,
Portugal,2016,99,,
Qatar,2016,70,,
Romania,2016,81,,
Russian Federation,2016,73,,
Rwanda,2016,81,,
Samoa,2016,67,,
Sao Tome and Principe,2016,64,,
Saudi Arabia,2016,39,,
Senegal,2016,50,,
Serbia,2016,76,,
Seychelles,2016,93,,
Sierra Leone,2016,57,,
Singapore,2016,100,,
Slovak Republic,2016,95,,
Slovenia,2016,94,,
Solomon Islands,2016,24,,
Somalia,2016,20,,
South Africa,2016,74,,
South Sudan,2016,19,,
Spain,2016,90,,
Sri Lanka,2016,94,,
St. Lucia,2016,80,,
St. Vincent and the Grenadines,2016,67,,
Sudan,2016,20,,
Suriname,2016,49,,
Sweden,2016,91,,
Switzerland,2016,96,,
Syrian Arab Republic,2016,87,,
Tajikistan,2016,56,,
Tanzania,2016,59,,
Thailand,2016,79,,
Timor-Leste,2016,68,,
Togo,2016,63,,
Tonga,2016,89,,
Trinidad and Tobago,2016,79,,
Tunisia,2016,71,,
Turkey,2016,93,,
Turkmenistan,2016,35,,
Uganda,2016,72,,
Ukraine,2016,84,,
United Arab Emirates,2016,71,,
United Kingdom,2016,97,,
United States,2016,87,,
Uruguay,2016,80,,
Uzbekistan,2016,62,,
Vanuatu,2016,51,,
"Venezuela, RB",2016,38,,
Vietnam,2016,85,,
"Yemen, Rep.",2016,47,,
Zambia,2016,35,,
Zimbabwe,2016,57,,
