ISO,Year,Value,Variable,Description,Source,URL,From
CCK,2012,77.75,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2013,77.44,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2014,78.63,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2015,85.23,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2016,89.49,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2017,88.95,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2018,88.51,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2019,88.0,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CCK,2020,87.72,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2012,77.11,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2013,76.9,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2014,77.97,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2015,84.76,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2016,89.49,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2017,88.23,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2018,87.91,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2019,87.55,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
CXR,2020,87.27,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2012,77.12,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2013,76.64,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2014,77.91,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2015,84.74,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2016,88.84,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2017,87.85,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2018,87.35,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2019,87.26,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NFK,2020,86.98,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2012,87.73,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2013,94.82,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2014,87.73,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2015,83.41,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2016,77.63,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2017,82.84,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2018,88.43,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2019,92.24,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NCL,2020,92.34,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2012,99.93,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2013,99.74,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2014,100.0,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2015,100.0,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2016,100.0,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2017,99.85,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2018,99.87,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2019,99.87,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
VUT,2020,99.89,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2012,27.1,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2013,24.53,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2014,21.74,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2015,29.57,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2016,35.69,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2017,39.95,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2018,42.86,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2019,39.67,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
SLB,2020,38.43,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2012,92.57,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2013,86.53,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2014,90.74,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2015,69.73,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2016,64.5,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2017,60.37,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2018,60.76,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2019,66.31,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
PLW,2020,67.67,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NRU,2012,89.52,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NRU,2013,81.62,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NRU,2014,85.59,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NRU,2015,64.58,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
NRU,2016,59.37,CV2,Tourism and recreation in coastal and marine areas score,Ocean Health Index,http://ohi-science.org/ohi-global/download,MANUAL
