ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
ARB,2017,58.6874749438091,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2016,58.7641248353607,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2015,60.4068130779003,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2014,52.5838605863246,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2013,54.0541482707356,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2012,53.2974819749178,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2011,52.6523412274825,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2010,53.7870016038215,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2005,52.395249480025,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,2000,53.0630763525235,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,1995,52.5434083785399,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
ARB,1990,53.3002660906353,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Arab World,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2017,19.0098316755753,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2016,19.1023773222892,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2015,20.0873756309981,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2014,19.9665404854642,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2013,21.456414441186,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
CSS,2012,22.1764999913285,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Caribbean small states,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EN.ATM.PM25.MC.M3,2021-07-16,EQ1,WB API
