ISO,Year,Value,Variable,Description,Source,URL,From
AFG,2018,1.949,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ALB,2018,2.66,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
DZA,2018,2.448,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
AGO,2018,2.046,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ARG,2018,2.887,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ARM,2018,2.608,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
AUS,2018,3.751,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
AUT,2018,4.026,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
AZE,2014,2.448,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BHS,2018,2.525,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BHR,2018,2.935,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BGD,2018,2.577,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BLR,2018,2.575,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BEL,2018,4.039,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BEN,2018,2.75,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BTN,2018,2.169,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BOL,2018,2.358,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BIH,2018,2.809,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BWA,2016,3.045,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BRA,2018,2.986,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BRN,2018,2.707,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BGR,2018,3.034,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BFA,2018,2.621,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
BDI,2018,2.064,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KHM,2018,2.579,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CMR,2018,2.596,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CAN,2018,3.727,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CAF,2018,2.148,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
TCD,2018,2.417,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CHL,2018,3.317,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CHN,2018,3.605,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
COL,2018,2.942,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
COM,2018,2.557,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
COD,2018,2.428,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
COG,2018,2.486,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CRI,2018,2.792,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CIV,2018,3.082,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
HRV,2018,3.104,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CUB,2018,2.197,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CYP,2018,3.151,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
CZE,2018,3.68,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
DNK,2018,3.992,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
DJI,2018,2.635,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
DOM,2018,2.662,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ECU,2018,2.882,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
EGY,2018,2.825,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SLV,2018,2.576,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GNQ,2018,2.318,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ERI,2018,2.087,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
EST,2018,3.312,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ETH,2016,2.377,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
FJI,2018,2.352,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
FIN,2018,3.969,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
FRA,2018,3.844,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GAB,2018,2.162,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GMB,2018,2.401,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GEO,2018,2.443,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
DEU,2018,4.201,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GHA,2018,2.565,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GRC,2018,3.205,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GTM,2018,2.415,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GIN,2018,2.201,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GNB,2018,2.387,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
GUY,2018,2.358,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
HTI,2018,2.112,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
HND,2018,2.604,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
HUN,2018,3.419,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ISL,2018,3.225,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
IND,2018,3.177,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
IDN,2018,3.15,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
IRN,2018,2.853,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
IRQ,2018,2.176,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
IRL,2018,3.51,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ISR,2018,3.308,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ITA,2018,3.739,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
JAM,2018,2.519,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
JPN,2018,4.026,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
JOR,2018,2.688,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KAZ,2018,2.81,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KEN,2018,2.815,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KOR,2018,3.612,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KWT,2018,2.861,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
KGZ,2018,2.546,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LAO,2018,2.7,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LVA,2018,2.81,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LBN,2018,2.717,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LSO,2018,2.277,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LBR,2018,2.229,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LBY,2018,2.106,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LTU,2018,3.018,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
LUX,2018,3.63,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MDG,2018,2.389,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MWI,2018,2.586,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MYS,2018,3.221,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MDV,2018,2.665,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MLI,2018,2.59,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MLT,2018,2.814,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MRT,2018,2.331,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MUS,2018,2.733,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MEX,2018,3.051,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MDA,2018,2.456,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MNG,2018,2.373,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MNE,2018,2.746,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MAR,2018,2.54,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MOZ,2016,2.684,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MMR,2018,2.298,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NAM,2016,2.745,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NPL,2018,2.513,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NLD,2018,4.019,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NZL,2018,3.876,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NIC,2016,2.531,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NER,2018,2.07,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NGA,2018,2.532,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
MKD,2018,2.705,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
NOR,2018,3.697,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
OMN,2018,3.197,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PAK,2018,2.419,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PAN,2018,3.276,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PNG,2018,2.174,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PRY,2018,2.782,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PER,2018,2.693,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PHL,2018,2.904,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
POL,2018,3.54,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
PRT,2018,3.643,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
QAT,2018,3.474,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ROU,2018,3.119,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
RUS,2018,2.757,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
RWA,2018,2.975,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
STP,2018,2.653,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SAU,2018,3.011,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SEN,2018,2.252,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SRB,2018,2.841,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SLE,2018,2.078,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SGP,2018,3.996,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SVK,2018,3.027,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SVN,2018,3.315,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SLB,2018,2.571,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
SOM,2018,2.209,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
ZAF,2018,3.376,EST,Efficiency on sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/indicators,MANUAL
