Country,Year,Value,Delta,Time Series
Afghanistan,2018,1.949,,
Albania,2018,2.66,,
Algeria,2018,2.448,,
Angola,2018,2.046,,
Argentina,2018,2.887,,
Armenia,2018,2.608,,
Australia,2018,3.751,,
Austria,2018,4.026,,
Azerbaijan,2014,2.448,,
"Bahamas, The",2018,2.525,,
Bahrain,2018,2.935,,
Bangladesh,2018,2.577,,
Belarus,2018,2.575,,
Belgium,2018,4.039,,
Benin,2018,2.75,,
Bhutan,2018,2.169,,
Bolivia,2018,2.358,,
Bosnia and Herzegovina,2018,2.809,,
Botswana,2016,3.045,,
Brazil,2018,2.986,,
Brunei Darussalam,2018,2.707,,
Bulgaria,2018,3.034,,
Burkina Faso,2018,2.621,,
Burundi,2018,2.064,,
Cambodia,2018,2.579,,
Cameroon,2018,2.596,,
Canada,2018,3.727,,
Central African Republic,2018,2.148,,
Chad,2018,2.417,,
Chile,2018,3.317,,
China,2018,3.605,,
Colombia,2018,2.942,,
Comoros,2018,2.557,,
"Congo, Dem. Rep.",2018,2.428,,
"Congo, Rep.",2018,2.486,,
Costa Rica,2018,2.792,,
Cote d'Ivoire,2018,3.082,,
Croatia,2018,3.104,,
Cuba,2018,2.197,,
Cyprus,2018,3.151,,
Czech Republic,2018,3.68,,
Denmark,2018,3.992,,
Djibouti,2018,2.635,,
Dominican Republic,2018,2.662,,
Ecuador,2018,2.882,,
"Egypt, Arab Rep.",2018,2.825,,
El Salvador,2018,2.576,,
Equatorial Guinea,2018,2.318,,
Eritrea,2018,2.087,,
Estonia,2018,3.312,,
Ethiopia,2016,2.377,,
Fiji,2018,2.352,,
Finland,2018,3.969,,
France,2018,3.844,,
Gabon,2018,2.162,,
"Gambia, The",2018,2.401,,
Georgia,2018,2.443,,
Germany,2018,4.201,,
Ghana,2018,2.565,,
Greece,2018,3.205,,
Guatemala,2018,2.415,,
Guinea,2018,2.201,,
Guinea-Bissau,2018,2.387,,
Guyana,2018,2.358,,
Haiti,2018,2.112,,
Honduras,2018,2.604,,
Hungary,2018,3.419,,
Iceland,2018,3.225,,
India,2018,3.177,,
Indonesia,2018,3.15,,
"Iran, Islamic Rep.",2018,2.853,,
Iraq,2018,2.176,,
Ireland,2018,3.51,,
Israel,2018,3.308,,
Italy,2018,3.739,,
Jamaica,2018,2.519,,
Japan,2018,4.026,,
Jordan,2018,2.688,,
Kazakhstan,2018,2.81,,
Kenya,2018,2.815,,
"Korea, Rep.",2018,3.612,,
Kuwait,2018,2.861,,
Kyrgyz Republic,2018,2.546,,
Lao PDR,2018,2.7,,
Latvia,2018,2.81,,
Lebanon,2018,2.717,,
Lesotho,2018,2.277,,
Liberia,2018,2.229,,
Libya,2018,2.106,,
Lithuania,2018,3.018,,
Luxembourg,2018,3.63,,
Madagascar,2018,2.389,,
Malawi,2018,2.586,,
Malaysia,2018,3.221,,
Maldives,2018,2.665,,
Mali,2018,2.59,,
Malta,2018,2.814,,
Mauritania,2018,2.331,,
Mauritius,2018,2.733,,
Mexico,2018,3.051,,
Moldova,2018,2.456,,
Mongolia,2018,2.373,,
Montenegro,2018,2.746,,
Morocco,2018,2.54,,
Mozambique,2016,2.684,,
Myanmar,2018,2.298,,
Namibia,2016,2.745,,
Nepal,2018,2.513,,
Netherlands,2018,4.019,,
New Zealand,2018,3.876,,
Nicaragua,2016,2.531,,
Niger,2018,2.07,,
Nigeria,2018,2.532,,
North Macedonia,2018,2.705,,
Norway,2018,3.697,,
Oman,2018,3.197,,
Pakistan,2018,2.419,,
Panama,2018,3.276,,
Papua New Guinea,2018,2.174,,
Paraguay,2018,2.782,,
Peru,2018,2.693,,
Philippines,2018,2.904,,
Poland,2018,3.54,,
Portugal,2018,3.643,,
Qatar,2018,3.474,,
Romania,2018,3.119,,
Russian Federation,2018,2.757,,
Rwanda,2018,2.975,,
Sao Tome and Principe,2018,2.653,,
Saudi Arabia,2018,3.011,,
Senegal,2018,2.252,,
Serbia,2018,2.841,,
Sierra Leone,2018,2.078,,
Singapore,2018,3.996,,
Slovak Republic,2018,3.027,,
Slovenia,2018,3.315,,
Solomon Islands,2018,2.571,,
Somalia,2018,2.209,,
South Africa,2018,3.376,,
Spain,2018,3.831,,
Sri Lanka,2018,2.598,,
Sudan,2018,2.428,,
Sweden,2018,4.053,,
Switzerland,2018,3.901,,
Syrian Arab Republic,2018,2.296,,
Tajikistan,2018,2.34,,
Tanzania,2016,2.99,,
Thailand,2018,3.411,,
Togo,2018,2.447,,
Trinidad and Tobago,2018,2.416,,
Tunisia,2018,2.57,,
Turkey,2018,3.146,,
Turkmenistan,2018,2.41,,
Uganda,2018,2.575,,
Ukraine,2018,2.83,,
United Arab Emirates,2018,3.956,,
United Kingdom,2018,3.987,,
United States,2018,3.885,,
Uruguay,2018,2.685,,
Uzbekistan,2018,2.577,,
"Venezuela, RB",2018,2.229,,
Vietnam,2018,3.274,,
"Yemen, Rep.",2018,2.265,,
Zambia,2018,2.526,,
Zimbabwe,2018,2.12,,
