ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
ARB,2020,19.5469585136167,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2019,17.5665399239544,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2018,19.060773480663,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2017,18.8840212128199,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2016,19.2756139915654,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2015,18.7798408488064,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2014,17.7934018388318,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2013,17.3693086003373,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2012,14.87204249155,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2011,11.3285024154589,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2010,11.919671777154,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2009,9.90230905861457,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2008,9.80157781496534,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2007,9.7537652402582,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2006,9.34959349593497,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2005,7.03676649622597,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2004,6.69304319155952,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2003,6.04810996563574,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2002,6.13093176307586,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2001,4.62126476719944,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,2000,3.77068103116583,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,1999,3.61677568295498,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,1998,3.45744680851064,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
ARB,1997,3.74716124148373,Proportion of seats held by women in national parliaments (%),Arab World,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2020,25.503355704698,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2019,22.5950782997763,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2018,21.923937360179,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2017,21.2527964205817,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2016,20.4035874439462,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2015,19.7309417040359,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2014,17.155756207675,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2013,17.0786516853933,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2012,16.1797752808989,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2011,15.8482142857143,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2010,15.2466367713004,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2009,17.3814898419865,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2008,17.4887892376682,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2007,18.0995475113122,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2006,17.2413793103448,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2005,17.8240740740741,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2004,17.8240740740741,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2003,15.9353348729792,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2001,14.6153846153846,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,2000,13.2258064516129,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,1999,12.9113924050633,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
CSS,1998,12.0234604105572,Proportion of seats held by women in national parliaments (%),Caribbean small states,"Inter-Parliamentary Union (IPU) (www.ipu.org).  For the year of 1998, the data is as of August 10, 1998.",https://api.worldbank.org/v2/country/all/indicator/?indicator=SG.GEN.PARL.ZS,2021-07-16,GB1,WB API
