ISO,Year,Description,Source,URL,DownloadDate,Indicator,From,Imputed,Value,Corrected,Country
AFG,2000,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,,False,Afghanistan
AFG,2001,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,27.31,False,Afghanistan
AFG,2002,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,27.31,False,Afghanistan
AFG,2003,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,27.31,False,Afghanistan
AFG,2004,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,27.31,False,Afghanistan
AFG,2005,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,,GB1,SDG API,True,27.31,False,Afghanistan
AFG,2006,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.31,False,Afghanistan
AFG,2007,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.31,False,Afghanistan
AFG,2008,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.31,True,Afghanistan
AFG,2009,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.69,False,Afghanistan
AFG,2010,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.69,True,Afghanistan
AFG,2011,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
AFG,2012,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
AFG,2013,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
AFG,2014,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
AFG,2015,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
AFG,2016,Proportion of seats held by women in national parliaments (% of total number of seats) Sex FEMALE Reporting Type G,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_GEN_PARL&pageSize=1000000000,2020-11-23,GB1,SDG API,False,27.71,False,Afghanistan
