ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
ARB,2017,48.3285179138184,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Arab World,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ARB,2014,37.7907638549805,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Arab World,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ARB,2011,30.3776683807373,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Arab World,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAS,2017,75.9222564697266,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAS,2014,73.6668853759766,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAS,2011,62.201904296875,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAP,2017,73.2753601074219,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAP,2014,71.1219787597656,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EAP,2011,57.9190330505371,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",East Asia & Pacific (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EMU,2017,96.6849822998047,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Euro area,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EMU,2014,95.5720901489258,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Euro area,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
EMU,2011,92.3642883300781,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Euro area,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECS,2017,83.7267074584961,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECS,2014,79.476692199707,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECS,2011,72.6208114624023,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECA,2017,68.5355224609375,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECA,2014,59.2534065246582,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
ECA,2011,50.1688423156738,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Europe & Central Asia (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LCN,2017,58.5881004333496,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LCN,2014,54.924861907959,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LCN,2011,44.079460144043,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LAC,2017,57.8416404724121,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LAC,2014,54.408763885498,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LAC,2011,44.1285591125488,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Latin America & Caribbean (excluding high income),"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LMY,2017,67.4690780639648,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Low & middle income,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LMY,2014,59.5575981140137,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Low & middle income,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
LMY,2011,46.5806884765625,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Low & middle income,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
MEA,2017,56.845890045166,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Middle East & North Africa,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
MEA,2011,46.5945816040039,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Middle East & North Africa,"Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.",https://api.worldbank.org/v2/country/all/indicator/?indicator=FX.OWN.TOTL.MA.ZS,2020-11-23,GB2.1,WB API
