ISO,Year,Description,Source,URL,DownloadDate,Indicator,From,Imputed,Value,Corrected,Country
AFG,2000,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2001,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2002,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2003,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2004,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2005,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,,False,Afghanistan
AFG,2006,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,15.42,False,Afghanistan
AFG,2007,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,15.42,False,Afghanistan
AFG,2008,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,15.42,False,Afghanistan
AFG,2009,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G","Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,,GB2.1,SDG API,True,15.42,False,Afghanistan
