ISO,Year,Description,Indicator,From,Source,URL,Imputed,Value,Corrected,Country
AFG,2000,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,,False,Afghanistan
AFG,2001,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,5.885496183206107,False,Afghanistan
AFG,2002,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,5.885496183206107,False,Afghanistan
AFG,2003,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,5.885496183206107,False,Afghanistan
AFG,2004,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,5.885496183206107,False,Afghanistan
AFG,2005,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,True,5.885496183206107,False,Afghanistan
AFG,2006,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,False,5.885496183206107,False,Afghanistan
AFG,2007,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,False,5.885496183206107,False,Afghanistan
AFG,2008,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,False,5.885496183206107,False,Afghanistan
AFG,2009,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000,False,5.885496183206107,False,Afghanistan
