ISO,Year,Value,Description,Variable,From,Source,URL
AFG,2011,5.885496183206107,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
AFG,2014,4.141732283464567,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
AFG,2017,3.14804469273743,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
AGO,2011,1.0141279219111226,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
AGO,2014,1.6180026869682045,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
ALB,2011,1.4847816497573885,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
ALB,2014,1.2658529324203631,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
ALB,2017,1.1034120734908135,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
ARE,2011,1.456894725693709,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
ARE,2014,1.3294917257683214,"max Ratio (Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex FEMALE Reporting Type G, Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) Age 15+ Sex MALE Reporting Type G)",GB2,SDG API,"Global Financial Inclusion Database, World Bank.",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27FEMALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Sex%27%2Cvalues%3A%5B%27MALE%27%5D%7D%5D&seriesCode=FB_BNK_ACCSS&pageSize=1000000000
