ISO,Year,Value,Variable,Description,Source,URL
AFG,1971,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1972,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1973,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1974,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1975,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1976,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1977,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1978,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1979,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1980,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1981,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1982,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1983,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1984,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
AFG,1985,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
