ISO,Year,Description,Source,URL,DownloadDate,Indicator,From,Imputed,Value,Corrected,Country
AFG,1990,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1365000.0,True,Afghanistan
AFG,1991,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1365000.0,True,Afghanistan
AFG,1992,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1400000.0,False,Afghanistan
AFG,1993,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1330000.0,False,Afghanistan
AFG,1994,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1280000.0,False,Afghanistan
AFG,1995,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1240000.0,False,Afghanistan
AFG,1996,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1180000.0,False,Afghanistan
AFG,1997,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1090000.0,False,Afghanistan
AFG,1998,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1040000.0,False,Afghanistan
AFG,1999,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,810000.0,False,Afghanistan
AFG,2000,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,760000.0,False,Afghanistan
AFG,2001,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,790000.0,False,Afghanistan
AFG,2002,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1080000.0,False,Afghanistan
AFG,2003,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1330000.0,False,Afghanistan
AFG,2004,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1109999.9999999998,False,Afghanistan
AFG,2005,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1620000.0,False,Afghanistan
AFG,2006,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1920000.0,False,Afghanistan
AFG,2007,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2340000.0,False,Afghanistan
AFG,2008,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,4370000.0,False,Afghanistan
