ISO,Year,Value,Variable,Description,Source,URL,From
AFG,2000,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2001,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2002,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2003,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2004,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2005,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2006,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2007,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2008,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2009,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2010,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2011,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2012,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2013,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2014,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2015,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2016,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2017,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
AFG,2018,0.0,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2000,0.008692682945751854,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2001,0.004889051416987917,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2002,0.0036490246130570247,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2003,0.002174236206552639,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2004,0.007487477668312931,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2005,0.01543780950512577,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2006,0.006686420380953803,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2007,0.007679680637044287,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2008,0.005664040260358774,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2009,0.014395791630510383,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2010,0.00636424894209307,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2011,0.0073583941843305255,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2012,0.008001679985542234,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2013,0.0075471349119953695,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2014,0.005215985338622072,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
ALB,2015,0.018415201727748045,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL
