ISO,Value,Year,Variable,Description,Source,URL,From
ALB,10.504000000000001,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
DZA,6.888,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
AGO,2.832,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ARG,27.191000000000003,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
AUS,30.453000000000003,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
AUT,25.088,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
AZE,4.628,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BGD,155.9,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BRB,0.14,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BEL,13.374,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BWA,0.1,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BRA,1157.575,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BGR,45.589,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
BFA,0.1,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
KHM,18.925,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CAN,59.635,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CHL,17.493,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CHN,4360.549,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
TWN,28.94,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
COL,272.027,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CRI,1.097,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
HRV,25.402,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CYP,1.4020000000000001,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
CZE,34.132999999999996,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
COD,8.972,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
DNK,45.025,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
DOM,2.5,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ECU,12.448,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
EGY,12.08,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
SLV,0.163,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
EST,14.688,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ETH,13.732999999999999,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
FIN,31.982,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
FRA,109.424,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GAB,0.07,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
DEU,308.50600000000003,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GHA,15.666,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GRC,25.433,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
