ISO,Country,Year,Value,Indicator,From,Description,URL,Source,Region,Continent,Variable Type,Dimension
DZA,Algeria,1980,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1981,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1982,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1983,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1984,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1985,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1986,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1987,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1988,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1989,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1990,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1991,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1992,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1993,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1994,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1995,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1996,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1997,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,1998,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
