Country,Year,Value,Delta,Time Series
Afghanistan,2017,56.911,,
Albania,2017,18.201,,
Algeria,2017,38.884,,
Angola,2017,32.389,,
Argentina,2017,13.312,,
Armenia,2017,32.528,,
Australia,2017,8.55,,
Austria,2017,12.478,,
Azerbaijan,2017,19.929,,
"Bahamas, The",2017,17.368,,
Bahrain,2017,70.816,,
Bangladesh,2017,60.846,,
Barbados,2017,23.08,,
Belarus,2017,18.766,,
Belgium,2017,12.887,,
Belize,2017,23.012,,
Benin,2017,390,,
Bhutan,2017,37.927,,
Bolivia,2017,21.569,,
Bosnia and Herzegovina,2017,27.748,,
Botswana,2017,23.094,,
Brazil,2017,12.707,,
Brunei Darussalam,2017,5.903,,
Bulgaria,2017,19.149,,
Burkina Faso,2017,42.936,,
Burundi,2017,38.896,,
Cabo Verde,2017,34.779,,
Cambodia,2017,25.614,,
Cameroon,2017,72.793,,
Canada,2017,6.428,,
Central African Republic,2017,56.828,,
Chad,2017,66.029,,
Chile,2017,21.036,,
China,2017,52.665,,
Colombia,2017,16.527,,
Comoros,2017,20.547,,
"Congo, Dem. Rep.",2017,44.909,,
"Congo, Rep.",2017,46.638,,
Costa Rica,2017,15.726,,
Cote d'Ivoire,2017,25.886,,
Croatia,2017,17.902,,
Cuba,2017,19.706,,
Cyprus,2017,17.294,,
Czech Republic,2017,16.071,,
Denmark,2017,10.03,,
Djibouti,2017,45.55,,
Dominica,2017,19.493,,
Dominican Republic,2017,13.726,,
Ecuador,2017,14.886,,
"Egypt, Arab Rep.",2017,86.999,,
El Salvador,2017,24.472,,
Equatorial Guinea,2017,53.241,,
Eritrea,2017,48.03,,
Estonia,2017,6.732,,
Eswatini,2017,17.169,,
Ethiopia,2017,38.979,,
Fiji,2017,10.84,,
Finland,2017,5.861,,
France,2017,11.815,,
Gabon,2017,44.386,,
"Gambia, The",2017,33.983,,
Georgia,2017,22.196,,
Germany,2017,12.029,,
Ghana,2017,34.714,,
Greece,2017,16.218,,
Grenada,2017,22.723,,
Guatemala,2017,24.071,,
Guinea,2017,26.062,,
Guinea-Bissau,2017,29.775,,
Guyana,2017,22.376,,
Haiti,2017,15.02,,
Honduras,2017,20.629,,
Hungary,2017,15.926,,
Iceland,2017,6.481,,
India,2017,90.873,,
Indonesia,2017,16.503,,
"Iran, Islamic Rep.",2017,38.979,,
Iraq,2017,61.636,,
Ireland,2017,8.209,,
Israel,2017,21.381,,
Italy,2017,16.751,,
Jamaica,2017,13.404,,
Japan,2017,11.705,,
Jordan,2017,33.006,,
Kazakhstan,2017,13.824,,
Kenya,2017,28.578,,
Kiribati,2017,10.641,,
"Korea, Dem. People's Rep.",2017,32.007,,
