ISO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country,Continent,UNregion,IncomeLevel,Region
AFG,77.67455295882839,77.67455295882839,77.67455295882839,77.67471662497378,77.67471662497378,77.67471662497378,77.1229904694808,73.78556915231188,64.66529795628705,64.66529795628705,64.66529795628705,Afghanistan,Asia,Southern Asia,Low income,South Asia
ALA,,,,,,,,,,,,Aland Islands,Europe,Northern Europe,,
ALB,84.87045661642844,84.87045661642844,84.87045661642844,84.8706356426349,84.8706356426349,84.8706356426349,84.83982702416324,84.80901840569159,84.3992229250063,84.3992229250063,84.3992229250063,Albania,Europe,Southern Europe,Upper middle income,Europe & Central Asia
DZA,80.27808367531541,80.27808367531541,80.27808367531541,80.27825289884355,80.27825289884355,80.27825289884355,80.86129446815255,82.7485700741317,85.53293938473436,85.53293938473436,85.53293938473436,Algeria,Africa,Northern Africa,Lower middle income,Middle East & North Africa
ASM,,,,,,,,,,,,American Samoa,Oceania,Polynesia,Upper middle income,East Asia & Pacific
AND,,,,,,,,,,,,Andorra,Europe,Southern Europe,High income,Europe & Central Asia
AGO,68.15815183425467,68.15815183425467,68.15815183425467,68.15829518710667,68.15829518710667,68.15829518710667,68.15829518710667,68.15829518710667,67.29932592019505,67.29932592019505,67.29932592019505,Angola,Africa,Middle Africa,Lower middle income,Sub-Saharan Africa 
AIA,,,,,,,,,,,,Anguilla,America,Caribbean,,
ATA,,,,,,,,,,,,Antarctica,Antarctica,Antarctica,,
ATG,,,,,,,,,,,,Antigua and Barbuda,America,Caribbean,High income,Latin America & Caribbean 
ARG,91.29825683838025,91.29825683838025,91.29825683838025,91.29844958508777,91.29844958508777,91.29844958508777,86.92639422623198,83.03644495795064,79.98153202359434,79.98153202359434,79.98153202359434,Argentina,America,South America,Upper middle income,Latin America & Caribbean 
ARM,94.37528467799089,94.37528467799089,94.37528467799089,94.37548399278738,94.37548399278738,94.37548399278738,94.08537013252173,93.30552555918727,93.62787563646773,93.62787563646773,93.62787563646773,Armenia,Asia,Western Asia,Upper middle income,Europe & Central Asia
ABW,,,,,,,,,,,,Aruba,America,Caribbean,High income,Latin America & Caribbean 
AUS,95.73583817069425,95.73583817069425,95.73583817069425,95.7360403896687,95.7360403896687,95.7360403896687,94.87215855848495,94.478098703857,93.88635341891164,93.88635341891164,93.88635341891164,Australia,Oceania,Australia and New Zealand,High income,East Asia & Pacific
AUT,98.26280513306364,98.26280513306364,98.26280513306364,98.26301274599118,98.26301274599118,98.26301274599118,98.26301274599118,98.28686994772444,98.31035206689282,98.31035206689282,98.31035206689282,Austria,Europe,Western Europe,High income,Europe & Central Asia
AZE,99.8856662591687,99.8856662591687,99.8856662591687,99.88587733618458,99.88587733618458,99.88587733618458,99.80373110573964,99.76388337627517,99.69990513439292,99.69990513439292,99.69990513439292,Azerbaijan,Asia,Western Asia,Upper middle income,Europe & Central Asia
BHS,,,,,,,,,,,,Bahamas,America,Caribbean,High income,Latin America & Caribbean 
BHR,,,,,,,,,,,,Bahrain,Asia,Western Asia,High income,Middle East & North Africa
BGD,79.94420458948719,79.94420458948719,79.94420458948719,79.94437310033163,79.94437310033163,79.94437310033163,81.19428170172962,82.43059003403556,83.4825488780174,83.4825488780174,83.4825488780174,Bangladesh,Asia,Southern Asia,Lower middle income,South Asia
BRB,,,,,,,,,,,,Barbados,America,Caribbean,High income,Latin America & Caribbean 
BLR,,,,,,,,,,,,Belarus,Europe,Eastern Europe,Upper middle income,Europe & Central Asia
BEL,95.25530644064222,95.25530644064222,95.25530644064222,95.25550763389465,95.25550763389465,95.25550763389465,95.01245766366844,94.62549294386162,94.37060502683336,94.37060502683336,94.37060502683336,Belgium,Europe,Western Europe,High income,Europe & Central Asia
BLZ,,,,,,,,,,,,Belize,America,Central America,Upper middle income,Latin America & Caribbean 
BEN,,,,,,,,,,,,Benin,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
BMU,,,,,,,,,,,,Bermuda,America,Northern America,High income,North America
BTN,,,,,,,,,,,,Bhutan,Asia,Southern Asia,Lower middle income,South Asia
BOL,,,,,,,,,,,,Bolivia,America,South America,Lower middle income,Latin America & Caribbean 
BES,,,,,,,,,,,,"Bonaire, Saint Eustatius and Saba",America,Caribbean,,
