"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1970",26.7161,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1971",26.5389,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1972",27.8444,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1973",28.9403,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1974",29.321,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1975",30.2289,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1976",29.8997,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1977",30.4755,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1978",30.7241,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1979",31.5178,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1980",32.1848,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1981",32.512,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1982",31.0555,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1983",30.9657,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1984",30.5461,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1985",29.9045,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1986",31.3934,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1987",33.496,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1988",34.033,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1989",37.205,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1990",39.3828,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1991",37.3524,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1992",38.4973,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1993",39.5886,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1994",38.5149,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1995",40.5543,
"AUS","MATCONSUMP","TOT","TONNE_CAP","A","1996",43.5147,
