ISO,Description,Year,Value,Variable,Source,URL,From
AFG,Total material footprint (MF) per capita,1990,2.45617192193623,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1991,2.80736344093151,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1992,2.06375350565962,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1993,1.87190359712395,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1994,1.60332996911714,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1995,1.58615060394615,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1996,1.44707959706666,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1997,1.26694858582033,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1998,0.96821358421909,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,1999,0.861058344127296,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2000,0.620002816981475,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2001,0.901360278717812,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2002,0.976834533907564,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2003,1.03423718846202,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2004,1.06833838088328,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2005,1.14553726507942,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2006,1.05833171687226,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2007,1.17650117414543,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2008,1.03104012738486,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2009,1.26783403757471,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2010,1.38557138926838,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2011,1.3316582287853,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2012,1.36927802495277,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2013,1.2982565338548,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2014,1.29000317634909,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
AFG,Total material footprint (MF) per capita,2015,1.28040141469609,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1990,5.94181358075218,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1991,7.31273374736447,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1992,3.81627361860241,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1993,3.47939602893508,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1994,3.45409538328885,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1995,3.50068480429726,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1996,4.2796933992317,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1997,4.0326480668695,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1998,4.36002833480185,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,1999,4.73478519518269,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,2000,5.55428898145879,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,2001,6.10222502979265,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ALB,Total material footprint (MF) per capita,2002,6.13319182917552,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
