Country,ISO,Description,Source,Year,Value,URL,DownloadDate,Variable,From
Afghanistan,AFG,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,3109152.67104,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Afghanistan,AFG,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1051782.52304,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Afghanistan,AFG,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,594982.44816,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Albania,ALB,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,238491.7727,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Albania,ALB,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,79651.33802,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Albania,ALB,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,45057.93456,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Algeria,DZA,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,3918528.68,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Algeria,DZA,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1190335.31912,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Algeria,DZA,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,673360.32572,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
American Samoa,ASM,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,4186.93549,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
American Samoa,ASM,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1528.93852,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
American Samoa,ASM,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,864.90464,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Andorra,AND,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,6497.40052,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Andorra,AND,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1971.47923,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Andorra,AND,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,987.75196,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Angola,AGO,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,3169522.89453,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Angola,AGO,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,879908.2675,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Angola,AGO,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,497754.9671,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Antigua and Barbuda,ATG,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,7177.70674,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Antigua and Barbuda,ATG,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,2482.88759,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Antigua and Barbuda,ATG,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,1243.97815,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Argentina,ARG,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,3243562.94957,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Argentina,ARG,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1238100.13274,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Argentina,ARG,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,700380.38464,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
