SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Food Waste Sector,Nature,Observation Status,Reporting Type,Units
AG_FOOD_WST,Food waste (Tonnes),1,World,2019,235503578,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),1,World,2019,121270234,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),1,World,2019,564738838,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),2,Africa,2019,20532785.30764,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),2,Africa,2019,143906027.44759,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),2,Africa,2019,32773414.55853,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),4,Afghanistan,2019,3109152.67104,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),4,Afghanistan,2019,1051782.52304,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),4,Afghanistan,2019,594982.44816,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),5,South America,2019,28704716.97174,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),5,South America,2019,11530802.35694,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),5,South America,2019,6732779.79787,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),8,Albania,2019,238491.7727,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),8,Albania,2019,79651.33802,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),8,Albania,2019,45057.93456,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),9,Oceania,2019,3935002.80286,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),9,Oceania,2019,999481.45786,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),9,Oceania,2019,443646.91994,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),11,Western Africa,2019,56738923.55744,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),11,Western Africa,2019,10586424.34811,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),11,Western Africa,2019,6231822.56417,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),12,Algeria,2019,3918528.68,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),12,Algeria,2019,1190335.31912,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),12,Algeria,2019,673360.32572,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),13,Central America,2019,16183675.43117,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),13,Central America,2019,4800038.42994,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),13,Central America,2019,2815185.94372,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),14,Eastern Africa,2019,44252249.16512,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),14,Eastern Africa,2019,9147487.98697,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),14,Eastern Africa,2019,6625107.18454,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),15,Northern Africa,2019,3839996.6471,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),15,Northern Africa,2019,6523265.63906,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),15,Northern Africa,2019,22140308.75426,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),16,American Samoa,2019,4186.93549,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),16,American Samoa,2019,1528.93852,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),16,American Samoa,2019,864.90464,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),17,Middle Africa,2019,17664189.09547,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),17,Middle Africa,2019,4714215.76997,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),17,Middle Africa,2019,2775078.27399,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),18,Southern Africa,2019,3110356.87531,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),18,Southern Africa,2019,1802020.81442,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),18,Southern Africa,2019,1060780.63784,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),19,Americas,2019,75979987.67229,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),19,Americas,2019,43419124.65667,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),19,Americas,2019,17007285.05567,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),20,Andorra,2019,6497.40052,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),20,Andorra,2019,1971.47923,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),20,Andorra,2019,987.75196,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),21,Northern America,2019,27787570.54526,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),21,Northern America,2019,25942590.92348,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),21,Northern America,2019,6798975.51741,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),24,Angola,2019,3169522.89453,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),24,Angola,2019,879908.2675,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),24,Angola,2019,497754.9671,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),28,Antigua and Barbuda,2019,7177.70674,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),28,Antigua and Barbuda,2019,2482.88759,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),28,Antigua and Barbuda,2019,1243.97815,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),29,Caribbean,2019,3304024.72412,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),29,Caribbean,2019,1145692.9463,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),29,Caribbean,2019,660343.79667,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),30,Eastern Asia,2019,93298795.83481,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),30,Eastern Asia,2019,25265958.7373,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),30,Eastern Asia,2019,62634283.74638,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),31,Azerbaijan,2019,934872.32903,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),31,Azerbaijan,2019,277799.55882,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),31,Azerbaijan,2019,157148.32485,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),32,Argentina,2019,1238100.13274,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),32,Argentina,2019,700380.38464,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),32,Argentina,2019,3243562.94957,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),34,Southern Asia,2019,108533827.24567,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),34,Southern Asia,2019,48013281.48052,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),34,Southern Asia,2019,30538866.46193,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),35,South-Eastern Asia,2019,53608301.41942,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),35,South-Eastern Asia,2019,19939525.95085,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),35,South-Eastern Asia,2019,12568291.72382,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),36,Australia,2019,2563110.26578,2019,,,,,Food Waste Index Report 2021 / WESR,,High Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),36,Australia,2019,546339.63441,2019,,,,,Food Waste Index Report 2021 / WESR,,High Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),36,Australia,2019,238247.67049,2019,,,,,Food Waste Index Report 2021 / WESR,,High Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),39,Southern Europe,2019,3834966.27881,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),39,Southern Europe,2019,1397740.18133,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
