ISO,Year,Value,Description,Variable,From,Source,URL
ABW,2000,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2001,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2002,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2003,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2004,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2005,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2006,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2007,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2008,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
ABW,2009,1.0,"max Ratio (Access to electricity, urban (% of urban population) / Access to electricity, rural (% of rural population))",SE2,WB API,"World Bank, Sustainable Energy for All (SE4ALL) database from the SE4ALL Global Tracking Framework led jointly by the World Bank, International Energy Agency, and the Energy Sector Management Assistance Program.",https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.RU.ZS _AND_ https://api.worldbank.org/v2/country/all/indicator/?indicator=EG.ELC.ACCS.UR.ZS
