ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
EAS,2017,90.9185956853682,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2016,91.0380485326059,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2015,91.1440928830736,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2014,91.2419348253561,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2013,91.3322211160945,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2012,91.4187251919182,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2011,91.5003318982531,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2010,91.5746985557514,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2009,91.5583820154048,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
EAS,2008,91.5118449184414,"People using safely managed drinking water services, urban (% of urban population)",East Asia & Pacific,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",https://api.worldbank.org/v2/country/all/indicator/?indicator=SH.H2O.SMDW.UR.ZS,2021-07-16,SE2.0,WB API
