ISO,Year,Description,Indicator,From,Source,URL,Imputed,Value,Corrected,Country
ABW,2000,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2001,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2002,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2003,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2004,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2005,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2006,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2007,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2008,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2009,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2010,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2011,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2012,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2013,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2014,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2015,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2016,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
ABW,2017,"max Ratio (Proportion of population with access to electricity, by urban/rural (%) Location URBAN Reporting Type G / Proportion of population with access to electricity, by urban/rural (%) Location RURAL Reporting Type G)",SE2,SDG API,World Bank,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27RURAL%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000 _AND_ https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Location%27%2Cvalues%3A%5B%27URBAN%27%5D%7D%5D&seriesCode=EG_ACS_ELEC&pageSize=1000000000,False,1.0,False,Aruba
