ISO,Year,Value,Variable,Description,Source,URL
AFG,2019,17.37,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ALA,2019,51.61,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ALB,2019,100.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
DZA,2019,12.55,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ASM,2019,83.42,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AND,2019,140.25,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AGO,2019,34.31,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AIA,2019,90.87,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ATG,2019,108.56,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ARG,2019,50.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ARM,2019,122.35,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ABW,2019,45.51,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AUS,2019,29.48,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AUT,2019,93.35,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
AZE,2019,53.42,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BHS,2019,11.34,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BHR,2019,14.66,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BGD,2019,73.76,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BRB,2019,74.81,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BLR,2019,66.03,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BEL,2019,79.34,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BLZ,2019,104.2,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BEN,2019,32.02,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BMU,2019,141.19,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BTN,2019,86.28,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BOL,2019,53.24,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BES,2019,73.49,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BIH,2019,70.69,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BWA,2019,16.45,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BRA,2019,41.96,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BRN,2019,229.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BGR,2019,46.63,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BFA,2019,24.3,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BDI,2019,72.62,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
CPV,2019,68.74,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KHM,2019,48.79,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
CMR,2019,64.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
