,Number of targets,Relation,Target 1,Target 2
EE1,1,negative,0.928,
EE2,1,positive,,51.4
EE3,1,positive,,100
EW1,1,positive,,265.7579346
EW2,2,negative,25,75
EW3,1,positive,,
SL1,1,negative,5,
SL2,1,positive,,11.9
SL3,1,,,
ME1,1,negative,0.169685364,
ME2,1,negative,5,
ME3,,,,
EQ1,1,negative,10,
EQ2,1,negative,0,
EQ3,1,negative,0.001752675,
GE1,1,negative,0.10181212240599,
GE2,1,negative,0,
GE3,1,negative,0,
BE1,1,positive,,100
BE2,1,positive,,17
BE3,1,positive,,428.688
CV1,1,positive,,1
CV2,1,positive,,100
CV3,1,positive,,13.5
GV1,1,positive,,37.944048794713
GV2,1,,,
GV3,1,,,
GT1,1,positive,,18.2791155097434
GT2,1,,,
GT3,1,,,
GJ1,1,positive,,0.144294020674944
GJ2,1,,,
GJ3,1,,,
GN1,1,positive,,0.051236885719089
GN2,1,positive,,100
GN3,1,,,
AB1,1,positive,,100
AB2,1,negative,0,
AB3,1,positive,,100
GB1,1,positive,,50
GB2,1,negative,1,
GB3,1,positive,,100
SE1,1,negative,0.861314741883449,
SE2,1,negative,1,
SE3,1,negative,0,
SP1,1,positive,,100
SP2,1,positive,,100
SP3,1,negative,0,
