ISO,Country,Year,Share of world fishing export
ALB,Albania,2018,0.03823896763425209
DZA,Algeria,2018,0.005431860302519736
AGO,Angola,2018,0.06021557674811634
ATG,Antigua and Barbuda,2018,0.00014950074227118538
ARG,Argentina,2018,0.982701601335673
ARM,Armenia,2018,0.006760755789374717
AUS,Australia,2018,0.11283983802757361
AUT,Austria,2018,0.03237521629850448
AZE,Azerbaijan,2018,0.00034883506529943256
BHS,Bahamas,2018,0.01209294893038033
BGD,Bangladesh,2018,0.1075907008544964
BRB,Barbados,2018,0.0004318910332278689
BLR,Belarus,2018,0.21935081129900036
BEL,Belgium,2018,0.49700691208376296
BLZ,Belize,2018,0.0053488043345913
BEN,Benin,2018,0.00029900148454237076
BOL,Bolivia,2018,0.0
BIH,Bosnia and Herzegovina,2018,0.003787352137536696
BWA,Botswana,2018,0.0005647805819133671
BRA,Brazil,2018,0.14955057585194245
BGR,Bulgaria,2018,0.05265748366662863
BFA,Burkina Faso,2018,0.0009634492279698613
CPV,Cabo Verde,2018,0.02490017918494521
KHM,Cambodia,2018,0.058620902163890355
CMR,Cameroon,2018,0.007591315468659081
CAN,Canada,2018,1.4100079451338923
CAF,Central African Republic,2018,0.00021594551661393446
TCD,Chad,2018,0.00018272312944255992
CHL,Chile,2018,3.928298115111253
CHN,China,2018,15.14176740109737
HKG,Hong Kong,2018,0.322257155562333
MAC,Macao,2018,0.00016611193585687266
COL,Colombia,2018,0.07498292784579232
COG,Congo Republic,2018,0.0016943417457401012
CRI,Costa Rica,2018,0.0568601156438075
CIV,Cote d'Ivoire,2018,0.10333823529656049
HRV,Croatia,2018,0.11523184990391257
CUB,Cuba,2018,0.01662780477927295
CYP,Cyprus,2018,0.009152767665713683
CZE,Czech Republic,2018,0.08038156576114068
PRK,North Korea,2018,0.1719424648054489
DNK,Denmark,2018,3.2481361825517023
DJI,Djibouti,2018,0.0
DMA,Dominica,2018,1.6611193585687266e-05
DOM,Dominican Republic,2018,0.008372041567186383
ECU,Ecuador,2018,1.874340639434608
EGY,Egypt,2018,0.07883672475767176
SLV,El Salvador,2018,0.07556431962129137
EST,Estonia,2018,0.18561347712646947
SWZ,Eswatini,2018,3.322238717137453e-05
ETH,Ethiopia,2018,0.0014783962291261667
FJI,Fiji,2018,0.14054730892849995
FIN,Finland,2018,0.12154410346647372
FRA,France,2018,0.7475867673238554
PYF,French Polynesia,2018,0.0021428439725536576
GAB,Gabon,2018,0.0019102872623540353
GMB,Gambia,2018,0.005980029690847415
GEO,Georgia,2018,0.07320553013212379
DEU,Germany,2018,2.4605828834606833
GHA,Ghana,2018,0.16325481056013444
GRC,Greece,2018,0.26267280417047273
