ISO,Share of world fishing export,Share of world fishing export_normed
ALB,0.038238967634252,96.7241677601128
DZA,0.0054318603025197,99.53665260578704
AGO,0.0602155767481163,94.84015892425101
ATG,0.0001495007422711,99.98949826701458
ARG,0.982701601335673,15.757357192770739
ARM,0.0067607557893747,99.42272916900023
AUS,0.1128398380275736,90.32879082749352
AUT,0.0323752162985044,97.22685492493457
AZE,0.0003488350652994,99.97240975149657
BHS,0.0120929489303803,98.96561137889319
BGD,0.1075907008544964,90.77878840280141
BRB,0.0004318910332278,99.96528953669741
BLR,0.2193508112990003,81.19782736903113
BEL,0.4970069120837629,57.39494929538809
BLZ,0.0053488043345913,99.54377282058621
BEN,0.0002990014845423,99.97668188037608
BOL,0.0,100.0
BIH,0.0037873521375366,99.67763285881071
BWA,0.0005647805819133,99.95389719301872
BRA,0.1495505758519424,87.18165588625806
BGR,0.0526574836666286,95.48809847097596
BFA,0.0009634492279698,99.91972016198268
CPV,0.0249001791849452,97.86767425686034
KHM,0.0586209021638903,94.97686704839518
CMR,0.007591315468659,99.35152702100848
CAN,1.4100079451338925,1.0
CAF,0.0002159455166139,99.98380209517525
TCD,0.0001827231294425,99.98665018109493
CHL,3.928298115111253,1.0
CHN,15.14176740109737,1.0
HKG,0.322257155562333,72.37588123285292
MAC,0.0001661119358568,99.98807422405477
COL,0.0749829278457923,93.57418473295765
COG,0.0016943417457401,99.85706227174994
CRI,0.0568601156438075,95.12781560213769
CIV,0.1033382352965604,91.1433434005192
HRV,0.1152318499039125,90.1237286412773
CUB,0.0166278047792729,98.57684765085821
CYP,0.0091527676657136,99.217666982784
CZE,0.0803815657611406,93.11137077101125
PRK,0.1719424648054489,85.2620459764004
DNK,3.2481361825517023,1.0
DJI,0.0,100.0
DMA,1.6611193585687266e-05,100.0
DOM,0.0083720415671863,99.28459700189623
ECU,1.874340639434608,1.0
EGY,0.0788367247576717,93.24380676627591
SLV,0.0755643196212913,93.52434322936341
EST,0.1856134771264694,84.09005862045615
SWZ,3.322238717137453e-05,99.99946656773344
ETH,0.0014783962291261,99.8755748302278
FJI,0.1405473089284999,87.95348717048866
FIN,0.1215441034664737,89.58259231653996
FRA,0.7475867673238554,35.913261246276186
PYF,0.0021428439725536,99.81861311183438
GAB,0.001910287262354,99.83854971327207
GMB,0.0059800296908474,99.48965918811248
GEO,0.0732055301321237,93.72655732966
DEU,2.4605828834606838,1.0
GHA,0.1632548105601344,86.00682044439414
GRC,0.2626728041704727,77.48392332978129
GRD,0.0015116186162975,99.87272674430811
GTM,0.0436209943560147,96.26277784112625
GIN,0.0146344615489904,98.74773280603841
GNB,0.011627835509981,99.00548458176856
GUY,0.0458801166836682,96.06910799858866
HTI,0.0003986686460564,99.96813762261708
HND,0.1021422293583909,91.24587449362733
HUN,0.0147341287105046,98.73918854827942
ISL,1.901101272301151,1.0
IND,2.9018924634516368,1.0
IDN,1.9583600565910144,1.0
IRN,0.2197993135258139,81.15937820911559
IRQ,0.0002657790973709,99.97952996629576
IRL,0.5493487830722634,52.90778992894782
ISR,0.0009634492279698,99.91972016198268
ITA,0.3068585791084008,73.69596905662003
JAM,0.0028405141031525,99.75880330752132
JPN,1.1717702067279654,1.0
JOR,0.0027408469416383,99.76734756528032
KAZ,0.0605145782326587,94.81452615097399
KEN,0.0169766398445723,98.54694274870168
KIR,0.1473911206858031,87.3667814710366
KWT,0.0007475037113559,99.93823272046053
KGZ,0.0030398484261807,99.7417147920033
LAO,3.322238717137453e-05,99.99946656773344
LVA,0.2230384962750229,80.88168983194774
LBN,0.0009800604215555,99.91829611902284
LSO,0.0024252342635103,99.7944043815172
LBR,0.0003986686460564,99.96813762261708
LTU,0.3266757330561257,71.99708580553681
LUX,0.0031062932005235,99.73601862016395
MDG,0.0605810230070014,94.80882997913464
MWI,0.0001495007422711,99.98949826701458
MYS,0.6202287461023911,46.8313986193316
MDV,0.1508628601452117,87.06915649243108
MLI,0.0052325259794914,99.55374112130507
MLT,0.0263619642204856,97.74235847639488
MRT,1.2676334049109663,1.0
MUS,0.2905297758136703,75.0958032861379
MEX,1.216886208506692,1.0
MNG,3.322238717137453e-05,99.99946656773344
MNE,3.322238717137453e-05,99.99946656773344
MAR,1.2903076841554295,1.0
MOZ,0.025282236637416,97.83492126878416
MMR,1.28306520375207,1.0
NAM,0.901854922154133,22.68817427828798
NPL,0.0001328895486854,99.99092230997444
NLD,3.038220529209372,1.0
NCL,0.0030896820069378,99.7374426631238
NZL,0.7230188120106239,38.01942078387225
NIC,0.0561126119324515,95.19189753533027
NER,0.0010132828087269,99.91544803310317
NGA,0.0091527676657136,99.217666982784
MKD,0.0014451738419547,99.87842291614746
NOR,5.157426773290597,1.0
OMN,0.1451486095517353,87.55902727061435
PAK,0.3624396328461104,68.93112131301191
PAN,0.2221414918213957,80.95858815177884
PRY,1.6611193585687266e-05,100.0
PER,8.019983930331327,1.0
PHL,0.8772039108729732,24.801454030683203
POL,0.980525534975948,15.94390682050913
PRT,0.6282851749914495,46.14073778381159
KOR,1.0148442609239778,13.001834065489895
MDA,0.0001661119358568,99.98807422405477
ROU,0.0120431153496232,98.96988350777269
RUS,4.506583597409784,1.0
RWA,0.0071760356290168,99.38712809500437
KNA,0.0001162783550998,99.99234635293425
LCA,0.0,100.0
VCT,0.0003986686460564,99.96813762261708
WSM,0.01317267651345,98.87304858650388
STP,0.0,100.0
SAU,0.1101986582474493,90.55521365810732
SEN,0.3894992671971949,66.6113553314406
SRB,0.0058471401421619,99.50105153179116
SLE,0.021511495693465,98.1581790206667
SVK,0.0060464744651901,99.48396301627315
SVN,0.0288038096775817,97.53302416129911
SLB,0.0634049259165683,94.56674267596267
ZAF,0.7051783900995957,39.548842922735105
ESP,2.601030525227669,1.0
LKA,0.0496508576276192,95.74585024670611
SDN,0.0033720722978945,99.71323393280659
SUR,0.047591069622994,95.92243157372566
SWE,1.5981297124918006,1.0
CHE,0.0013288954868549,99.88839121686631
THA,3.3511089715893774,1.0
TLS,0.0,100.0
TGO,0.0002990014845423,99.97668188037608
TTO,0.0076743714365875,99.34440680620932
TUN,0.0421259869333029,96.3909417075114
TUR,0.3793332167227544,67.48286962285967
TKM,0.0,100.0
UGA,0.0753317629110917,93.5442798308011
UKR,0.0366276818564404,96.8622999272168
ARE,0.1640023142714903,85.94273851120154
GBR,1.759839682048466,1.0
TZA,0.1143514566438711,90.19920291814856
USA,4.374275440499784,1.0
URY,0.0952153616331594,91.83970040787854
UZB,0.0003322238717137,99.97383379445641
VUT,0.047325290525623,95.94521626108302
VEN,0.0383220236021805,96.71704754531363
VNM,6.2524864880398585,1.0
YEM,0.0975575399287413,91.63891035054178
ZMB,0.0029401812646666,99.7502590497623
ZWE,0.0063953095304895,99.45405811411663
