ISO,Country,Year,pop,loss,waste,loss_capita,waste_capita
AFG,Afghanistan,2018,37171922.0,957899,4755917.64224,0.025769423491203924,0.12794381851549133
ALB,Albania,2018,2866376.0,344527,363201.04528,0.1201960245271381,0.12671088694574614
DZA,Algeria,2018,42228415.0,3855367,5782224.32484,0.09129793292028603,0.13692733494354453
AGO,Angola,2018,30809787.0,3068556,4547186.12913,0.09959679370714247,0.14758901543623135
ATG,Antigua and Barbuda,2018,96282.0,1382,10904.572479999999,0.014353669429384517,0.11325660538833841
ARG,Argentina,2018,44494502.0,3483862,5182043.46695,0.0782987075571719,0.11646480427963887
ARM,Armenia,2018,2951741.0,185075,403228.32521000004,0.0627002843406654,0.13660694661557368
AUS,Australia,2018,24982688.0,2692009,3347697.57068,0.10775497816728127,0.1340006956289091
AUT,Austria,2018,8840521.0,697321,680728.5335,0.07887781726891435,0.07700095203665033
AZE,Azerbaijan,2018,9939771.0,496962,1369820.2127,0.049997328912305926,0.13781204946270895
BHS,Bahamas,2018,385635.0,8989,43741.82263,0.023309606233874,0.11342804110104114
BGD,Bangladesh,2018,161376713.0,5606583,13712749.15912,0.034742205958799025,0.08497353121277171
BRB,Barbados,2018,286640.0,10953,32230.81668,0.0382116941110801,0.11244354130616802
BLR,Belarus,2018,9483499.0,664292,1055534.08791,0.07004714188296957,0.1113021773830524
BEL,Belgium,2018,11427054.0,646278,915507.53543,0.056556834333678654,0.08011754695742228
BLZ,Belize,2018,383071.0,114073,37463.63974,0.297785528009168,0.09779816206395159
BEN,Benin,2018,11485035.0,1406725,1686150.7337500001,0.12248330109573023,0.146812851136283
BOL,Bolivia,2018,11353140.0,1062374,1420394.12825,0.09357534567529335,0.12511024511720986
BIH,Bosnia and Herzegovina,2018,3323929.0,320519,416163.92463,0.09642775161563319,0.1252024109510161
BWA,Botswana,2018,2254067.0,53268,311524.90404,0.023631950603065482,0.1382056984286625
BRA,Brazil,2018,209469320.0,102335995,21714283.047489997,0.48854884810816207,0.10366330996582218
BGR,Bulgaria,2018,7025037.0,628871,781689.74745,0.08951853207321185,0.11127197585578553
BFA,Burkina Faso,2018,19751466.0,457207,2966571.52783,0.023148003292515096,0.15019500465585695
CPV,Cabo Verde,2018,543764.0,10950,78569.49195000001,0.020137412553975623,0.1444918971281659
KHM,Cambodia,2018,16249795.0,2436302,2137069.6494,0.14992816832458503,0.13151363751973486
CMR,Cameroon,2018,25216261.0,4375407,3697209.6775700003,0.1735152963399292,0.14662005907894118
CAN,Canada,2018,37065178.0,3132996,4374219.40109,0.08452666813039451,0.11801425588971945
CAF,Central African Republic,2018,4666375.0,148022,692716.80169,0.03172098256141009,0.14844859268489996
TCD,Chad,2018,15477727.0,727163,2327970.4890900003,0.04698125247977303,0.15040777557906276
CHL,Chile,2018,18729166.0,1207406,2128356.92558,0.06446661853496306,0.1136386385587057
CHN,China,2018,1392730000.0,108118598,179448658.37161,0.07763069510960488,0.12884669560619072
HKG,Hong Kong,2018,7451000.0,200791,816399.16032,0.026948194873171388,0.10956907265065093
MAC,Macao,2018,631633.0,1549,70307.68703,0.002452373451038815,0.11131097809962431
COL,Colombia,2018,49661056.0,4335663,5724606.190950001,0.08730509073347131,0.1152735493774035
COM,Comoros,2018,832322.0,23238,121576.25151,0.027919483084671556,0.14606877087233067
COG,Congo Republic,2018,5244363.0,307470,768763.687,0.05862866472057712,0.14658857272084333
CRI,Costa Rica,2018,4999443.0,1174281,584110.62364,0.23488236589556077,0.11683514016261412
HRV,Croatia,2018,4087843.0,315433,506598.26132000005,0.07716367776355403,0.12392801321381473
CUB,Cuba,2018,11338146.0,1649436,1311517.90018,0.14547669433785734,0.11567304744355912
CYP,Cyprus,2018,1189262.0,60433,159310.42099999997,0.050815547793505556,0.13395737945044908
CZE,Czech Republic,2018,10629928.0,456527,1157110.17457,0.04294732758302784,0.10885399925286418
CIV,Cote d'Ivoire,2018,25069226.0,1965134,3674363.22956,0.07838829966270199,0.1465686746595208
PRK,North Korea,2018,25549606.0,993385,3181573.9021400004,0.038880638707305314,0.12452536067053246
DNK,Denmark,2018,5793636.0,603055,760585.8736899999,0.10408921098943738,0.13127954080822474
DJI,Djibouti,2018,958923.0,5783,139107.57842,0.006030724051879035,0.14506647397131991
DMA,Dominica,2018,71626.0,24971,8308.72944,0.34863038561416243,0.11600158378242537
DOM,Dominican Republic,2018,10627147.0,942809,1242722.08321,0.08871703760190765,0.11693844859866906
ECU,Ecuador,2018,17084359.0,892442,2010492.65826,0.05223737103627944,0.1176803097066738
