,ISO,Country,Year,pop,loss,waste,loss_capita,waste_capita,normed_waste_capita,normed_loss_capita
0,AFG,Afghanistan,2018,37171922.0,957899,4755917.64224,0.0257694234912039,0.1279438185154913,51.73799981255172,94.77384894289514
1,ALB,Albania,2018,2866376.0,344527,363201.04528,0.1201960245271381,0.1267108869457461,52.20016373385964,75.6400124957286
2,DZA,Algeria,2018,42228415.0,3855367,5782224.32484,0.091297932920286,0.1369273349435445,48.37053215951635,81.49568613403234
3,AGO,Angola,2018,30809787.0,3068556,4547186.12913,0.0995967937071424,0.1475890154362313,44.37400535693762,79.81407265592898
4,ATG,Antigua and Barbuda,2018,96282.0,1382,10904.57248,0.0143536694293845,0.1132566053883384,57.24349596375563,97.08704425802469
5,ARG,Argentina,2018,44494502.0,3483862,5182043.46695,0.0782987075571719,0.1164648042796388,56.040903852138676,84.12974316149044
6,ARM,Armenia,2018,2951741.0,185075,403228.32521,0.0627002843406654,0.1366069466155736,48.49062960014472,87.29048044721294
7,AUS,Australia,2018,24982688.0,2692009,3347697.57068,0.1077549781672812,0.1340006956289091,49.46758177289053,78.16096468154889
8,AUT,Austria,2018,8840521.0,697321,680728.5335,0.0788778172689143,0.0770009520366503,70.83391357797831,84.01239709176133
9,AZE,Azerbaijan,2018,9939771.0,496962,1369820.2127,0.0499973289123059,0.1378120494627089,48.03889726472689,89.8645037509786
10,BHS,Bahamas,2018,385635.0,8989,43741.82263,0.023309606233874,0.1134280411010411,57.179233353259505,95.27228625373044
11,BGD,Bangladesh,2018,161376713.0,5606583,13712749.15912,0.034742205958799,0.0849735312127717,67.84539536221432,92.95567747079447
12,BRB,Barbados,2018,286640.0,10953,32230.81668,0.0382116941110801,0.112443541306168,57.54827271999372,92.25264868300758
13,BLR,Belarus,2018,9483499.0,664292,1055534.08791,0.0700471418829695,0.1113021773830524,57.97611254443385,85.80177314362608
14,BEL,Belgium,2018,11427054.0,646278,915507.53543,0.0565568343336786,0.0801175469574222,69.66565917922858,88.53533906083918
15,BLZ,Belize,2018,383071.0,114073,37463.63974,0.297785528009168,0.0977981620639515,63.03808745563475,39.65472363559507
16,BEN,Benin,2018,11485035.0,1406725,1686150.73375,0.1224833010957302,0.146812851136283,44.66495024410393,75.17653742310343
17,BOL,Bolivia,2018,11353140.0,1062374,1420394.12825,0.0935753456752933,0.1251102451172098,52.800163703232364,81.03420978415909
18,BIH,Bosnia and Herzegovina,2018,3323929.0,320519,416163.92463,0.0964277516156331,0.1252024109510161,52.76561537613313,80.45622150390086
19,BWA,Botswana,2018,2254067.0,53268,311524.90404,0.0236319506030654,0.1382056984286625,47.89133810233029,95.20696901926358
20,BRA,Brazil,2018,209469320.0,102335995,21714283.04749,0.488548848108162,0.1036633099658221,60.839539036650265,1.0
21,BGR,Bulgaria,2018,7025037.0,628871,781689.74745,0.0895185320732118,0.1112719758557855,57.98743357523043,81.8562494118412
